CUSIP,Short Name,Price Date,Day,Funds,Market Code,Market,Price Source,Bid Price,Ask Price,Last Trade Price,Statement Price,Update Date,Trade Volume,Price Status,Statement Price Status
DYN394,DYNAMIC ALPHA PERF FD SR F -NL,2014-10-26,Sun,C,,,,,,,,,,,
DYN394,DYNAMIC ALPHA PERF FD SR F -NL,2014-10-25,Sat,C,,,,,,,,,,,
DYN394,DYNAMIC ALPHA PERF FD SR F -NL,2014-10-24,Fri,C,XU,CDN MUT FUND,SVC,       7.720,       7.720,       7.720,,2014-10-24,0,,
DYN394,DYNAMIC ALPHA PERF FD SR F -NL,2014-10-23,Thu,C,XU,CDN MUT FUND,SVC,       7.540,       7.540,       7.540,,2014-10-17,0,,
DYN394,DYNAMIC ALPHA PERF FD SR F -NL,2014-10-22,Wed,C,XU,CDN MUT FUND,SVC,       7.540,       7.540,       7.540,,2014-10-17,0,,
DYN394,DYNAMIC ALPHA PERF FD SR F -NL,2014-10-21,Tue,C,XU,CDN MUT FUND,SVC,       7.540,       7.540,       7.540,,2014-10-17,0,,
DYN394,DYNAMIC ALPHA PERF FD SR F -NL,2014-10-20,Mon,C,XU,CDN MUT FUND,SVC,       7.540,       7.540,       7.540,,2014-10-17,0,,
DYN394,DYNAMIC ALPHA PERF FD SR F -NL,2014-10-19,Sun,C,,,,,,,,,,,
DYN394,DYNAMIC ALPHA PERF FD SR F -NL,2014-10-18,Sat,C,,,,,,,,,,,
DYN394,DYNAMIC ALPHA PERF FD SR F -NL,2014-10-17,Fri,C,XU,CDN MUT FUND,SVC,       7.540,       7.540,       7.540,,2014-10-17,0,,
DYN394,DYNAMIC ALPHA PERF FD SR F -NL,2014-10-16,Thu,C,XU,CDN MUT FUND,SVC,       7.410,       7.410,       7.410,,2014-10-10,0,,
DYN394,DYNAMIC ALPHA PERF FD SR F -NL,2014-10-15,Wed,C,XU,CDN MUT FUND,SVC,       7.410,       7.410,       7.410,,2014-10-10,0,,
DYN394,DYNAMIC ALPHA PERF FD SR F -NL,2014-10-14,Tue,C,XU,CDN MUT FUND,SVC,       7.410,       7.410,       7.410,,2014-10-10,0,,
DYN394,DYNAMIC ALPHA PERF FD SR F -NL,2014-10-13,Mon,C,XU,CDN MUT FUND,SVC,       7.410,       7.410,       7.410,,2014-10-10,0,,
DYN394,DYNAMIC ALPHA PERF FD SR F -NL,2014-10-12,Sun,C,,,,,,,,,,,
DYN394,DYNAMIC ALPHA PERF FD SR F -NL,2014-10-11,Sat,C,,,,,,,,,,,
DYN394,DYNAMIC ALPHA PERF FD SR F -NL,2014-10-10,Fri,C,XU,CDN MUT FUND,SVC,       7.410,       7.410,       7.410,,2014-10-10,0,,
DYN394,DYNAMIC ALPHA PERF FD SR F -NL,2014-10-09,Thu,C,XU,CDN MUT FUND,SVC,       7.650,       7.650,       7.650,,2014-10-03,0,,
DYN394,DYNAMIC ALPHA PERF FD SR F -NL,2014-10-08,Wed,C,XU,CDN MUT FUND,SVC,       7.650,       7.650,       7.650,,2014-10-03,0,,
DYN394,DYNAMIC ALPHA PERF FD SR F -NL,2014-10-07,Tue,C,XU,CDN MUT FUND,SVC,       7.650,       7.650,       7.650,,2014-10-03,0,,
DYN394,DYNAMIC ALPHA PERF FD SR F -NL,2014-10-06,Mon,C,XU,CDN MUT FUND,SVC,       7.650,       7.650,       7.650,,2014-10-03,0,,
DYN394,DYNAMIC ALPHA PERF FD SR F -NL,2014-10-05,Sun,C,,,,,,,,,,,
DYN394,DYNAMIC ALPHA PERF FD SR F -NL,2014-10-04,Sat,C,,,,,,,,,,,
DYN394,DYNAMIC ALPHA PERF FD SR F -NL,2014-10-03,Fri,C,XU,CDN MUT FUND,SVC,       7.650,       7.650,       7.650,,2014-10-03,0,,
DYN394,DYNAMIC ALPHA PERF FD SR F -NL,2014-10-02,Thu,C,XU,CDN MUT FUND,SVC,       7.620,       7.620,       7.620,,2014-09-30,0,,
DYN394,DYNAMIC ALPHA PERF FD SR F -NL,2014-10-01,Wed,C,XU,CDN MUT FUND,SVC,       7.620,       7.620,       7.620,,2014-09-30,0,,
DYN394,DYNAMIC ALPHA PERF FD SR F -NL,2014-09-30,Tue,C,XU,CDN MUT FUND,SVC,       7.620,       7.620,       7.620,       0.000,2014-09-30,0,,
DYN394,DYNAMIC ALPHA PERF FD SR F -NL,2014-09-29,Mon,C,XU,CDN MUT FUND,SVC,       7.620,       7.620,       7.620,,2014-09-26,0,,
DYN394,DYNAMIC ALPHA PERF FD SR F -NL,2014-09-28,Sun,C,,,,,,,,,,,
DYN394,DYNAMIC ALPHA PERF FD SR F -NL,2014-09-27,Sat,C,,,,,,,,,,,
DYN394,DYNAMIC ALPHA PERF FD SR F -NL,2014-09-26,Fri,C,XU,CDN MUT FUND,SVC,       7.620,       7.620,       7.620,,2014-09-26,0,,
